name,position,years,pro_bowls,draft_round,franchises,franchise_count
Brad Johnson,QB,1999-2008,2,9,Commanders -> Buccaneers -> Vikings -> Cowboys,4
Bradley Roby,DB,2014-2023,0,1,Broncos -> Texans -> Saints -> Eagles,4
Brady Quinn,QB,2007-2013,0,1,Browns -> Broncos -> Chiefs -> Jets -> Rams,5
Brandin Cooks,WR,2014-2025,0,1,Saints -> Patriots -> Rams -> Texans -> Cowboys -> Saints -> Bills,6
Brandon Lloyd,WR,2003-2014,1,4,49ers -> Commanders -> Bears -> Broncos -> Rams -> Patriots -> 49ers,6
Brandon Marshall,WR,2006-2018,6,4,Broncos -> Dolphins -> Bears -> Jets -> Giants -> Seahawks -> Saints,7
Brandon Meriweather,DB,2007-2016,2,1,Patriots -> Bears -> Commanders -> Giants,4
Brandon Weeden,QB,2012-2018,0,1,Browns -> Cowboys -> Texans -> Titans -> Texans,4
Braylon Edwards,WR,2005-2012,1,1,Browns -> Jets -> Seahawks -> Jets,3
Breshad Perriman,WR,2015-2022,0,1,Ravens -> Browns -> Buccaneers -> Jets -> Bears -> Buccaneers,5
Brett Favre,QB,1999-2010,11,2,Packers -> Jets -> Vikings,3
Brian Griese,QB,1999-2008,1,3,Broncos -> Dolphins -> Buccaneers -> Bears -> Buccaneers,4
Brian Mitchell,RB,1999-2003,1,5,Commanders -> Eagles -> Giants,3
Brodrick Bunkley,NT,2006-2014,0,1,Eagles -> Broncos -> Saints,3
Bruce Irvin,LB,2012-2023,0,1,Seahawks -> Raiders -> Falcons -> Panthers -> Seahawks -> Bears -> Seahawks -> Lions -> Dolphins,7
Bryan Anger,P,2012-2025,2,3,Jaguars -> Buccaneers -> Texans -> Cowboys,4
Bryant Johnson,WR,2003-2011,0,1,Cardinals -> 49ers -> Lions -> Texans,4
Bryant McKinnie,T,2002-2013,1,1,Vikings -> Ravens -> Dolphins,3
Bryant Westbrook,CB,1999-2002,0,1,Lions -> Cowboys -> Packers,3
Bud Dupree,LB,2015-2025,0,1,Steelers -> Titans -> Falcons -> Chargers,4
Byron Chamberlain,TE,1999-2003,1,7,Broncos -> Vikings -> Commanders,3
Byron Leftwich,QB,2003-2012,0,1,Jaguars -> Falcons -> Steelers -> Buccaneers -> Steelers,4
C.J. Henderson,DB,2020-2025,0,1,Jaguars -> Panthers -> Steelers -> Falcons,4
C.J. Spiller,RB,2010-2017,1,1,Bills -> Saints -> Seahawks -> Jets -> Chiefs,5
Calais Campbell,DL,2008-2025,6,2,Cardinals -> Jaguars -> Ravens -> Falcons -> Dolphins -> Cardinals,5
Calvin Ridley,WR,2018-2025,0,1,Falcons -> Jaguars -> Titans,3
Cameron Erving,OL,2015-2023,0,1,Browns -> Chiefs -> Cowboys -> Panthers -> Saints,5
Carlos Dunlap,LB,2010-2022,2,2,Bengals -> Seahawks -> Chiefs,3
Carlos Rogers,CB,2005-2014,1,1,Commanders -> 49ers -> Raiders,3
Carson Palmer,QB,2003-2017,3,1,Bengals -> Raiders -> Cardinals,3
Carson Wentz,QB,2016-2025,1,1,Eagles -> Colts -> Commanders -> Rams -> Chiefs -> Vikings,6
Casey Hayward,DB,2012-2022,2,2,Packers -> Chargers -> Raiders -> Falcons,4
Cedric Benson,RB,2005-2012,0,1,Bears -> Bengals -> Packers,3
Cedric Ogbuehi,OL,2015-2022,0,1,Bengals -> Jaguars -> Seahawks -> Ravens -> Jets,5
Cedric Peerman,RB,2009-2017,1,6,Browns -> Lions -> Bengals,3
